keys,es,en,pt_BR,fr
BTN_PLAY,JUGAR,PLAY,JOGAR,JOUER
BTN_BACK,VOLVER,BACK,VOLTAR,RETOUR
BTN_RESTART,JUGAR DE NUEVO,PLAY AGAIN,JOGAR NOVAMENTE,REJOUER
BTN_MENU,MENÚ PRINCIPAL,MAIN MENU,MENU PRINCIPAL,MENU PRINCIPAL
BTN_CONTINUE,CONTINUAR,CONTINUE,CONTINUAR,CONTINUER
BTN_RESTART_PAUSE,REINICIAR,RESTART,REINICIAR,RECOMMENCER
BTN_BUY,COMPRAR,BUY,COMPRAR,ACHETER
BTN_MAX,MAX,MAX,MAX,MAX
BTN_ACTIVE,ACTIVO,ACTIVE,ATIVO,ACTIF
BTN_SELECT_CHAR,ELEGIR,SELECT,ESCOLHER,CHOISIR
BTN_CANCEL,CANCELAR,CANCEL,CANCELAR,ANNULER
BTN_EXIT,SALIR,EXIT,SAIR,QUITTER
BTN_PLAY_CHALLENGE,JUGAR DESAFÍO,PLAY CHALLENGE,JOGAR DESAFIO,JOUER AU DÉFI
TITLE_GAME_OVER,GAME OVER,GAME OVER,GAME OVER,GAME OVER
TITLE_PAUSE,JUEGO PAUSADO,PAUSED,JOGO PAUSADO,JEU EN PAUSE
TITLE_ACHIEVEMENTS,LOGROS,ACHIEVEMENTS,CONQUISTAS,SUCCÈS
TITLE_DAILY,MISIONES DIARIAS,DAILY MISSIONS,MISSÕES DIÁRIAS,MISSIONS QUOTIDIENNES
TITLE_UPGRADES,MEJORAS PERMANENTES,PERMANENT UPGRADES,MELHORIAS PERMANENTES,AMÉLIORATIONS
TITLE_WEEKLY,DESAFÍO SEMANAL,WEEKLY CHALLENGE,DESAFIO SEMANAL,DÉFI HEBDOMADAIRE
TITLE_CHARACTERS,ELIGE PERSONAJE,CHOOSE CHARACTER,ESCOLHA PERSONAGEM,CHOISIR PERSONNAGE
TITLE_HISCORES,MEJORES PUNTUACIONES,HIGH SCORES,MELHORES PONTUAÇÕES,MEILLEURS SCORES
TITLE_BIOME,MAPA DE BIOMAS,BIOME MAP,MAPA DE BIOMAS,CARTE DES BIOMES
TITLE_SETTINGS,CONFIGURACIÓN,SETTINGS,CONFIGURAÇÕES,PARAMÈTRES
TITLE_LANG,IDIOMA,LANGUAGE,IDIOMA,LANGUE
LABEL_SCORE,Score: %d,Score: %d,Pontos: %d,Score: %d
LABEL_BEST,Mejor: %d,Best: %d,Melhor: %d,Meilleur: %d
LABEL_TIME,Tiempo: %s,Time: %s,Tempo: %s,Temps: %s
LABEL_GOLD_COLON,Oro: %d,Gold: %d,Ouro: %d,Or: %d
LABEL_GOLD_EARNED,+%d oro,+%d gold,+%d ouro,+%d or
LABEL_NEW_RECORD,¡NUEVO RÉCORD!,NEW RECORD!,NOVO RECORDE!,NOUVEAU RECORD!
LABEL_VICTORIES,Victorias: %d,Victories: %d,Vitórias: %d,Victoires: %d
LABEL_LVL,Lvl %d,Lvl %d,Nív %d,Niv %d
HUD_BOSS,¡JEFE!,BOSS!,CHEFE!,PATRON!
HUD_BOSS_TIMER,JEFE EN: %02d:%02d,BOSS IN: %02d:%02d,CHEFE EM: %02d:%02d,PATRON DS: %02d:%02d
HUD_PHASE2,¡FASE 2!,PHASE 2!,FASE 2!,PHASE 2!
HUD_ENDLESS,MODO ENDLESS — ¡sobrevive!,ENDLESS MODE — survive!,MODO INFINITO — sobreviva!,MODE INFINI — survivez!
HUD_PLAYING_AS,Jugando como: %s,Playing as: %s,Jogando como: %s,Vous jouez: %s
BOSS_WARNING,¡JEFE EN CAMINO!,BOSS INCOMING!,CHEFE A CAMINHO!,PATRON EN APPROCHE!
PAUSE_WARNING,Si sales ahora[BR]perderás el avance[BR]de la partida.,If you leave now[BR]you'll lose your progress.,Se sair agora[BR]perderá o progresso[BR]da partida.,Quitter fera perdre[BR]votre progression.
TUTORIAL_HINT,Arrastra con el dedo[BR]para moverte,Drag to move,Arraste para mover,Glissez pour bouger
TUTORIAL_TAP,Toca para continuar,Tap to continue,Toque para continuar,Appuyez pour continuer
TUTORIAL_WELCOME_TITLE,¡Bienvenido a GuacBlaster!,Welcome to GuacBlaster!,Bem-vindo ao GuacBlaster!,Bienvenue dans GuacBlaster !
TUTORIAL_WELCOME_HINT,Te guiaremos en tu primera partida,We'll guide you through your first match,Vamos guiá-lo na sua primeira partida,Nous vous guiderons dans votre première partie
TUTORIAL_BTN_START,¡EMPEZAR!,START!,COMEÇAR!,COMMENCER !
TUTORIAL_MOVE_TITLE,Muévete,Move,Mova-se,Déplacez-vous
TUTORIAL_MOVE_HINT,Arrastra el dedo para mover la nave,Drag your finger to move the ship,Arraste o dedo para mover a nave,Faites glisser pour déplacer le vaisseau
TUTORIAL_SHOOT_TITLE,¡Dispara!,Shoot!,Atire!,Tirez !
TUTORIAL_SHOOT_HINT,La nave dispara sola. ¡Elimina al enemigo!,The ship fires automatically. Destroy the enemy!,A nave atira sozinha. Elimine o inimigo!,Le vaisseau tire seul. Éliminez l'ennemi !
TUTORIAL_COLLECT_TITLE,Recoge gemas,Collect gems,Colete gemas,Collectez des gemmes
TUTORIAL_COLLECT_HINT,Las gemas te dan experiencia para subir de nivel,Gems give you XP to level up,As gemas dão XP para subir de nível,Les gemmes donnent de l'XP pour progresser
TUTORIAL_LEVELUP_TITLE,¡Sube de nivel!,Level up!,Subiu de nível!,Niveau supérieur !
TUTORIAL_LEVELUP_HINT,Elige un power-up para mejorar tu nave,Choose a power-up to upgrade your ship,Escolha um power-up para melhorar a nave,Choisissez un power-up pour améliorer votre vaisseau
TUTORIAL_DONE_TITLE,¡Estás listo!,You're ready!,Você está pronto!,Vous êtes prêt !
TUTORIAL_DONE_HINT,Ya sabes todo lo que necesitas. ¡A jugar!,You know everything you need. Let's play!,Você já sabe tudo que precisa. Vamos jogar!,Vous savez tout ce qu'il faut. Jouons !
SETTINGS_SENSITIVITY,SENSIBILIDAD DE CONTROL,CONTROL SENSITIVITY,SENSIBILIDADE DE CONTROLE,SENSIBILITÉ
SETTINGS_SENS_HINT,100% = base  ·  200% = doble velocidad,100% = base  ·  200% = double speed,100% = base  ·  200% = dobro,100% = base  ·  200% = double
SETTINGS_SOUND,SONIDO,SOUND,SOM,SON
SETTINGS_VIBRATION,VIBRACIÓN,VIBRATION,VIBRAÇÃO,VIBRATION
SETTINGS_LANGUAGE,IDIOMA,LANGUAGE,IDIOMA,LANGUE
VICTORY_RUN,— Victoria %d —,— Victory %d —,— Vitória %d —,— Victoire %d —
WEEKLY_REWARD,Recompensa de oro: ×%.1f,Gold reward: ×%.1f,Recompensa de ouro: ×%.1f,Récompense or: ×%.1f
WEEKLY_DONE,✓ COMPLETADO ESTA SEMANA,✓ COMPLETED THIS WEEK,✓ CONCLUÍDO ESTA SEMANA,✓ COMPLÉTÉ CETTE SEMAINE
HISCORE_EMPTY,Aún no hay puntuaciones registradas.[BR]¡Juega tu primera partida!,No scores yet.[BR]Play your first game!,Sem pontuações ainda.[BR]Jogue sua primeira partida!,Aucun score enregistré.[BR]Jouez votre première partie!
